TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.674,27.16666667,0.311432081,31.6,0.068768621,29.50877193,0.954704163,40.2173913,1.34E-14,0.032015285,0.024191737
ltr.1_family.675,368.3333333,0.397497434,387.2,0.020195101,377.1929825,0.990413095,402.3913043,1.08E-16,0.025929156,0.070793784
ltr.1_family.676,18.66666667,0.272937622,21,0.038126639,20.1754386,0.732657135,22.2173913,2.09E-08,0.015097042,0.285078146
ltr.1_family.677,142.5,0.133400478,191.6666667,0.03606126,159.5964912,0.789609823,276.8695652,2.13E-14,0.03290553,0.020467332
ltr.1_family.678,166.6666667,0.177652011,204.0666667,0.041653845,183.3508772,0.820867364,262.173913,5.51E-17,0.033952075,0.019118289
ltr.1_family.679,19,0.892971042,20.13333333,0.028015454,19.38596491,0.657437619,20.52173913,0.000667463,0.013145241,0.357899504
ltr.1_family.68,73.66666667,0.122946824,104.6333333,0.055154141,87.77192982,0.781541543,154.2173913,2.99E-16,0.03536615,0.014751695
ltr.1_family.680,139,0.273454284,155.7666667,0.02493678,148.1929825,0.79215189,172.3043478,5.18E-16,0.024477695,0.088679108
ltr.1_family.681,16.5,0.171456155,18.3,0.135530298,17.84210526,0.798534668,19.47826087,2.46E-06,0.007872088,0.593383415
ltr.1_family.682,4.5,0.929775048,4.733333333,0.140015445,4.473684211,0.98189722,5.304347826,0.000300193,0.018725968,0.193083159
ltr.1_family.683,111,0.102149029,171.5666667,0.111675742,129.2982456,0.587377881,462.4782609,1.64E-11,0.037408184,0.014308386
ltr.1_family.684,44.5,0.173781302,59.86666667,0.03232329,52.61403509,0.990413095,80.56521739,4.80E-15,0.03133347,0.022910111
ltr.1_family.685,578.8333333,0.292161593,657.4,0.048306632,604.9824561,0.949327789,813.3478261,7.32E-16,0.033044278,0.021042327
ltr.1_family.686,214.1666667,0.19675584,232.6333333,0.210278052,225.5789474,0.9489803,260.173913,7.69E-18,0.027460193,0.052844574
ltr.1_family.687,571,0.162310065,693.9,0.038266316,619.0175439,0.856590073,879.6956522,4.28E-16,0.035070474,0.01617816
ltr.1_family.688,194.8333333,0.127280831,254.2333333,0.019367855,229.0701754,0.850567046,304.4782609,2.93E-13,0.026679204,0.061227661
ltr.1_family.689,43,0.383692308,57.1,0.044678466,47.38596491,0.740912202,83.2173913,2.52E-16,0.033972992,0.016499498
ltr.1_family.69,144.1666667,0.341579235,168.1333333,0.080808173,153.1929825,0.867097633,200.6521739,3.30E-12,0.02233273,0.120863335
ltr.1_family.690,382.6666667,0.127262069,500.5666667,0.034263873,440.9649123,0.879850518,655.2608696,5.13E-16,0.032564791,0.022847449
ltr.1_family.691,13.83333333,0.482093215,15.83333333,0.032004936,14.43859649,0.764455369,17.82608696,3.17E-11,0.028872476,0.037912965
