"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"169","Landshut_5_8",1e-09,1e-09,0.999999998,"Germany",2018,"Contemp",NA,48.52961,12.16179
"170","Munich_1_11",0.122983106,0.056514703,0.820502191,"Germany",2018,"Contemp",NA,48.137154,11.576124
"171","Munich_1_13",0.028693275,0.061579,0.909727725,"Germany",2018,"Contemp",NA,48.137154,11.576124
"172","Munich_1_18",0.072203917,0.101237118,0.826558965,"Germany",2018,"Contemp",NA,48.137154,11.576124
"173","Munich_1_20",0.115456446,0.050482071,0.834061483,"Germany",2018,"Contemp",NA,48.137154,11.576124
"174","Munich_1_2",0.030949681,0.051601564,0.917448756,"Germany",2018,"Contemp",NA,48.137154,11.576124
"175","Munich_1_3",0.063787161,0.111939177,0.824273661,"Germany",2018,"Contemp",NA,48.137154,11.576124
"176","Munich_1_4",0.054864985,8.74e-06,0.94512627,"Germany",2018,"Contemp",NA,48.137154,11.576124
"177","Munich_1_5",0.136967095,0.054438694,0.80859421,"Germany",2018,"Contemp",NA,48.137154,11.576124
"178","Munich_1_6",0.014985416,0.05772239,0.927292194,"Germany",2018,"Contemp",NA,48.137154,11.576124
"179","Munich_2_10",0.060536144,0.156927814,0.782536042,"Germany",2018,"Contemp",NA,48.137154,11.576124
"180","Munich_2_11",0.036751797,0.128636554,0.834611649,"Germany",2018,"Contemp",NA,48.137154,11.576124
"181","Munich_2_13",0.036542693,0.123896867,0.839560439,"Germany",2018,"Contemp",NA,48.137154,11.576124
"182","Munich_2_15",7.69e-07,0.120494452,0.879504779,"Germany",2018,"Contemp",NA,48.137154,11.576124
"183","Munich_2_1",2.71e-06,0.234582496,0.765414797,"Germany",2018,"Contemp",NA,48.137154,11.576124
"184","Munich_2_5",0.158705865,0.066227164,0.775066972,"Germany",2018,"Contemp",NA,48.137154,11.576124
"185","Munich_2_6",0.078455266,0.136972738,0.784571996,"Germany",2018,"Contemp",NA,48.137154,11.576124
"186","Munich_2_7",0.022234621,0.133610959,0.84415442,"Germany",2018,"Contemp",NA,48.137154,11.576124
"187","Munich_2_8",0.040285618,0.094304255,0.865410127,"Germany",2018,"Contemp",NA,48.137154,11.576124
"188","Munich_2_9",0.113430836,0.06810262,0.818466543,"Germany",2018,"Contemp",NA,48.137154,11.576124
"189","Munich_3_14",0.143797027,0.095633993,0.76056898,"Germany",2018,"Contemp",NA,48.137154,11.576124
"190","Munich_3_16",0.111449648,0.189572461,0.698977891,"Germany",2018,"Contemp",NA,48.137154,11.576124
"191","Munich_3_17",0.107779645,0.297125284,0.595095071,"Germany",2018,"Contemp",NA,48.137154,11.576124
"192","Munich_3_19",0.125861469,0.22388328,0.650255251,"Germany",2018,"Contemp",NA,48.137154,11.576124
"193","Munich_3_4",0.168886851,0.281963939,0.549149211,"Germany",2018,"Contemp",NA,48.137154,11.576124
"194","Munich_3_6",0.131482581,0.091389281,0.777128138,"Germany",2018,"Contemp",NA,48.137154,11.576124
"195","Munich_3_7",0.093997771,0.22898227,0.677019959,"Germany",2018,"Contemp",NA,48.137154,11.576124
"196","Munich_3_9",0.158481163,0.207151308,0.634367529,"Germany",2018,"Contemp",NA,48.137154,11.576124
"197","Munich_4_13",0.090140365,0.154856038,0.755003597,"Germany",2018,"Contemp",NA,48.137154,11.576124
"198","Munich_4_15",0.090124171,0.135357967,0.774517862,"Germany",2018,"Contemp",NA,48.137154,11.576124
"199","Munich_4_18",0.176209488,0.069206842,0.754583671,"Germany",2018,"Contemp",NA,48.137154,11.576124
"200","Munich_4_20",0.056854818,0.068516777,0.874628405,"Germany",2018,"Contemp",NA,48.137154,11.576124
"201","Munich_4_2",0.051700859,0.141152282,0.807146859,"Germany",2018,"Contemp",NA,48.137154,11.576124
"202","Munich_4_6",0.228599339,0.307943619,0.463457041,"Germany",2018,"Contemp",NA,48.137154,11.576124
"203","Munich_47_11",0.110613261,0.409102805,0.480283935,"Germany",2018,"Contemp",NA,48.137154,11.576124
"204","Munich_47_15",0.125003288,0.409664114,0.465332598,"Germany",2018,"Contemp",NA,48.137154,11.576124
"205","Munich_47_16",0.189821413,0.252664037,0.55751455,"Germany",2018,"Contemp",NA,48.137154,11.576124
"206","Munich_47_17",0.105133977,0.387046607,0.507819416,"Germany",2018,"Contemp",NA,48.137154,11.576124
"207","Munich_47_18",0.184031216,0.112391314,0.70357747,"Germany",2018,"Contemp",NA,48.137154,11.576124
"208","Munich_47_1",0.218163515,0.177407484,0.604429001,"Germany",2018,"Contemp",NA,48.137154,11.576124
"209","Munich_47_20",0.18962747,0.199904848,0.610467682,"Germany",2018,"Contemp",NA,48.137154,11.576124
"210","Munich_47_6",0.029586282,0.387735101,0.582678617,"Germany",2018,"Contemp",NA,48.137154,11.576124
"211","Munich_47_8",0.128893654,0.408140528,0.462965818,"Germany",2018,"Contemp",NA,48.137154,11.576124
